Task,Category,Start,End,Rest,Total,Total(mins)
static qnode maps,Aplikazioa,"April 7, 2021 12:05","April 7, 2021 13:40",,1h 35m,95
android support,Aplikazioa,"April 7, 2021 11:05","April 7, 2021 12:05",,1h 0m,60
android fragment,Aplikazioa,"April 6, 2021 21:45","April 6, 2021 23:00",,1h 15m,75
rosactivity fragment,Aplikazioa,"April 6, 2021 16:40","April 6, 2021 17:30",,50m,50
"Activity, Intent",Aplikazioa,"April 6, 2021 11:20","April 6, 2021 13:55",,2h 35m,155
map marker,Aplikazioa,"April 6, 2021 0:10","April 6, 2021 1:45",,1h 35m,95
map -> imageview,Aplikazioa,"April 5, 2021 10:20","April 5, 2021 14:35",20,4h 15m,235
map tiles,Aplikazioa,"April 5, 2021 0:05","April 5, 2021 2:45",,2h 40m,160
Mapa,Aplikazioa,"April 4, 2021 17:50","April 4, 2021 20:10",,2h 20m,140
bilera,Jarraipen eta Kontrola,"March 30, 2021 17:00","March 30, 2021 19:00",,2h 0m,120
double listview,Aplikazioa,"March 29, 2021 13:00","March 29, 2021 13:30",,30m,30
ibilbide osoa,Aplikazioa,"March 28, 2021 13:15","March 28, 2021 15:55",35,2h 40m,125
xmlparser,Aplikazioa,"March 27, 2021 20:50","March 27, 2021 21:50",,1h 0m,60
listview refine,Aplikazioa,"March 27, 2021 18:00","March 27, 2021 20:00",,2h 0m,120
listview,Aplikazioa,"March 26, 2021 16:55","March 26, 2021 18:55",,2h 0m,120
listener (viewmodel),Aplikazioa,"March 25, 2021 22:20","March 25, 2021 23:50",,1h 30m,90
Qnode listener + costmap,Aplikazioa,"March 25, 2021 14:30","March 25, 2021 17:00",,2h 30m,150
Qnode,Aplikazioa,"March 24, 2021 19:30","March 24, 2021 20:30",,1h 0m,60
publish btn,Aplikazioa,"March 24, 2021 17:10","March 24, 2021 18:55",,1h 45m,105
app hasiera,Aplikazioa,"March 23, 2021 22:55","March 24, 2021 0:45",,1h 50m,110
app sortu + email,Aplikazioa,"March 23, 2021 19:45","March 23, 2021 21:10",,1h 25m,85
android threading,Formakuntza,"March 23, 2021 0:00","March 23, 2021 0:40",,40m,40
multilevel msgs,Formakuntza,"March 22, 2021 16:10","March 22, 2021 18:20",,2h 10m,130
multilevel msgs,Formakuntza,"March 21, 2021 16:35","March 21, 2021 18:00",,1h 25m,85
multilevel msgs,Formakuntza,"March 21, 2021 11:55","March 21, 2021 14:00",,2h 5m,125
multilevel msgs,Formakuntza,"March 20, 2021 23:15","March 21, 2021 0:20",,1h 5m,65
multilevel messages,Formakuntza,"March 20, 2021 19:20","March 20, 2021 20:30",,1h 10m,70
multilevel messages,Formakuntza,"March 20, 2021 11:45","March 20, 2021 14:40",,2h 55m,175
start navigation,Formakuntza,"March 19, 2021 16:05","March 19, 2021 17:15",,1h 10m,70
kokalekuak,Formakuntza,"March 19, 2021 12:40","March 19, 2021 14:50",,2h 10m,130
bilera ekaitzen bulego,Jarraipen eta Kontrola,"March 17, 2021 12:30","March 17, 2021 14:30",,2h 0m,120
listener (subscriber),Formakuntza,"March 16, 2021 23:10","March 17, 2021 0:10",,1h 0m,60
rostopic izena,Formakuntza,"March 16, 2021 20:40","March 16, 2021 22:30",,1h 50m,110
textview,Formakuntza,"March 15, 2021 16:30","March 15, 2021 18:30",,2h 0m,120
pubsub nodes,Formakuntza,"March 14, 2021 23:00","March 15, 2021 0:10",,1h 10m,70
movement,Formakuntza,"March 14, 2021 16:25","March 14, 2021 18:40",,2h 15m,135
messages,Formakuntza,"March 13, 2021 23:35","March 14, 2021 0:45",,1h 10m,70
messages,Formakuntza,"March 13, 2021 16:40","March 13, 2021 18:30",,1h 50m,110
erabilpenkasu,Diseinua,"March 13, 2021 12:45","March 13, 2021 13:20",,35m,35
kudeaketa plana bukatu,plangintza,"March 10, 2021 16:20","March 10, 2021 17:10",,50m,50
informazio-sistema,plangintza,"March 9, 2021 23:15","March 9, 2021 23:50",,35m,35
"kalitatea, informazio-sistema",plangintza,"March 8, 2021 19:20","March 8, 2021 20:40",,1h 20m,80
kalitatea,plangintza,"March 8, 2021 12:20","March 8, 2021 13:55",,1h 35m,95
kalitatea,plangintza,"March 7, 2021 23:35","March 8, 2021 0:55",,1h 20m,80
arriskuak,plangintza,"March 7, 2021 19:05","March 7, 2021 20:30",,1h 25m,85
arriskuak,plangintza,"March 7, 2021 15:45","March 7, 2021 16:20",,35m,35
arriskuak,plangintza,"March 7, 2021 12:40","March 7, 2021 13:50",,1h 10m,70
arriskuak,plangintza,"March 6, 2021 19:40","March 6, 2021 21:05",,1h 25m,85
arriskuak,plangintza,"March 6, 2021 16:30","March 6, 2021 17:40",,1h 10m,70
kudeaketa,plangintza,"March 6, 2021 12:25","March 6, 2021 13:25",,1h 0m,60
"memoria, besteak irakurri",plangintza,"March 5, 2021 23:40","March 6, 2021 0:40",,1h 0m,60
helburuak,plangintza,"March 5, 2021 19:50","March 5, 2021 20:35",,45m,45
"egutegia, kudeaketa",plangintza,"March 4, 2021 17:45","March 4, 2021 20:30",20,2h 45m,145
staruml watermark,,"March 2, 2021 23:20","March 3, 2021 0:40",,1h 20m,80
kudeaketa,plangintza,"March 1, 2021 16:50","March 1, 2021 20:10",30,3h 20m,170
arriskuen kudeaketa,plangintza,"February 28, 2021 17:50","February 28, 2021 19:15",,1h 25m,85
"helburuak, teknologiak",plangintza,"February 22, 2021 18:30","February 22, 2021 19:00",,30m,30
"gantt, helburuak",plangintza,"February 21, 2021 17:30","February 21, 2021 19:45",,2h 15m,135
gantt,plangintza,"February 19, 2021 20:00",,,h 0m,0
gantt,plangintza,"February 19, 2021 12:45","February 19, 2021 13:35",,50m,50
"atazak, gantt",plangintza,"February 18, 2021 16:15","February 18, 2021 17:15",,1h 0m,60
Atazak + Gantt,plangintza,"February 15, 2021 16:15","February 15, 2021 18:15",,2h 0m,120
2.3.1 LDE osatu,plangintza,"February 14, 2021 17:30","February 14, 2021 20:15",20,2h 45m,145
egitura + LDE,plangintza,"February 13, 2021 20:15","February 13, 2021 21:55",,1h 40m,100
Prototipoa sortu,Aplikazioa,"February 11, 2021 15:30","February 11, 2021 18:40",20,3h 10m,170
Beste GrALak begiratu,Formakuntza,"February 10, 2021 18:15","February 10, 2021 20:30",10,2h 15m,125
RosAndroid IPs,Formakuntza,"February 8, 2021 20:00","February 8, 2021 21:00",,1h 0m,60
Bilera,Jarraipen eta Kontrola,"February 8, 2021 17:40","February 8, 2021 19:40",,2h 0m,120
RosAndroid,Formakuntza,"February 7, 2021 18:10","February 7, 2021 20:30",35,2h 20m,105
RosAndroid,Formakuntza,"February 6, 2021 16:35","February 6, 2021 19:45",,3h 10m,190
RosAndroid debug,Formakuntza,"February 6, 2021 12:35","February 6, 2021 13:35",,1h 0m,60
RosAndroid + memoria,Formakuntza,"February 5, 2021 17:40","February 5, 2021 19:30",,1h 50m,110
RosAndroid debug,Formakuntza,"February 4, 2021 17:30","February 4, 2021 18:45",,1h 15m,75
RosAndroid probak,Formakuntza,"February 2, 2021 20:00","February 2, 2021 20:45",,45m,45
RosAndroid,Formakuntza,"February 1, 2021 17:25","February 1, 2021 19:40",10,2h 15m,125
Rosjava + RosAndroid,Formakuntza,"January 31, 2021 18:50","January 31, 2021 19:45",10,55m,45
Rosjava,Formakuntza,"January 30, 2021 17:30","January 30, 2021 20:00",20,2h 30m,130
Rosjava,Formakuntza,"January 27, 2021 18:30","January 27, 2021 20:30",,2h 0m,120
Bilera,,"December 12, 2020 0:00","December 12, 2020 1:00",,1h 0m,60
bilera,,"September 30, 2020","September 30, 2020 2:30",,2h 30m,150
